Date (date),State Name (state_name),District Name (district_name),Station Name (station_name),Latitude (latitude),Longitude (longitude),currentlevel,level_diff
2019-08-13,Tamil Nadu,Thoothukkudi,Karisalkulam,9.15,78.16667,8.86,-2.05
2017-04-16,Odisha,Khordha,B-02 Samantarapur,20.22806,85.83833,0.4,0.1
2019-01-29,Tamil Nadu,Dindigul,Kanakkanpatti,10.475,77.56667,1.75,-0.9
2016-11-04,Jharkhand,Koderma,Kodarma,24.46944,85.6,4.7,2.63
2018-08-28,Madhya Pradesh,Mandla,Kalpi,22.91889,80.19722,1.02,-6.18
2016-05-14,Haryana,Rohtak,Madina,28.93833,76.43333,4.07,0.46
2014-08-24,Rajasthan,Jaisalmer,LAKHASAR,26.725,71.4325,39.24,-0.16
2015-08-24,Jammu And Kashmir,Jammu,Chatta,32.69306,74.93444,3.76,-0.07
2014-11-04,Gujarat,Navsari,Kantasvel,20.79722,73.29167,5.52,2.95
2017-11-04,Jammu And Kashmir,Jammu,Birpur,32.65556,74.95167,12.66,0.8
2018-01-10,Bihar,Banka,Mirjapur,25.05667,86.76056,3.66,2.04
2017-01-04,Punjab,Bathinda,Balluana-Pz,30.22889,74.78806,6.89,-0.66
2017-08-24,Andhra Pradesh,Kurnool,Nandikotkur,15.86667,78.275,9.07,-3.6
2015-11-04,Telangana,Karimnagar,Boinpally 2010PZ,18.50833,78.93333,10.6,0.13
2019-11-09,Gujarat,Amreli,Dhari_Pz,21.32639,71.01806,5.52,-10.0
2016-08-24,Chhattisgarh,Surguja,Dwarikanagar,23.28389,83.18639,0.8,-6.3
2013-08-24,Gujarat,Banas Kantha,Meda,24.39722,72.28472,7.88,-1.35
2013-11-06,Kerala,Pathanamthitta,Pullad,9.35361,76.67889,5.85,0.65
2015-08-26,Kerala,Palakkad,Thirumittamcode  (Chathanur ),10.74556,76.15833,2.96,-3.34
2015-05-14,Tamil Nadu,Thoothukkudi,Ettaiyapuram,9.12639,78.0,4.37,1.65
2022-02-17,Tamil Nadu,Cuddalore,Maruthur2,11.49222,79.60278,6.64,2.21
2019-08-04,West Bengal,Nadia,Nabadwiptown,23.38972,88.36389,4.2,-1.49
2013-11-04,Andhra Pradesh,Ananthapuramu,Amidala,14.84167,77.25,5.75,-2.49
2014-11-04,Delhi,South,Jaitpur Khadar RD-2600,28.515,77.335,5.1,-0.44
2019-10-31,Haryana,Jind,Mohal Khera Pz,29.63611,76.13056,6.1,-0.15
2016-05-14,Gujarat,Panch Mahals,Shivrajpur,22.425,73.59167,12.5,4.8
2013-11-06,West Bengal,Uttar Dinajpur,Hematabad Pz,25.68889,88.21944,2.83,-0.86
2016-05-14,Tamil Nadu,Vellore,Echipudur,13.125,79.63611,8.15,0.77
2014-01-04,Andhra Pradesh,East Godavari,Jonnada,16.775,81.88333,0.64,-0.01
2016-10-30,Tamil Nadu,Cuddalore,Sethiatope2,11.46667,79.55,22.37,-0.88
2019-08-29,Bihar,Madhubani,Bhawanipur,26.25,86.13333,4.68,-2.55
2013-06-08,Madhya Pradesh,Sidhi,Patpara,24.485,81.89028,5.53,-0.87
2013-05-14,Haryana,Ambala,Kakru,30.40833,76.7875,1.98,0.54
